"고유번호","읍면동코드","읍면동명 한글","읍면동명 영문","위도","경도"
"202","11140155","을지로3가","Euljiro 3(sam)-ga","37.5665987","126.9924035"
"203","11140114","태평로2가","Taepyeongno 2(i)-ga","37.5632359","126.9764071"
"215","11140150","을지로4가","Euljiro 4(sa)-ga","37.566393","126.9977072"
"216","11140169","의주로1가","Uijuro 1(il)-ga","37.5637065","126.9684918"
"217","11140148","을지로6가","Euljiro 6(yuk)-ga","37.567505","127.0070798"
"219","11680105","삼성동","Samseong-dong","37.5147968","127.0550898"
"221","11410116","창천동","Changcheon-dong","37.558812","126.9341472"
"222","11140172","의주로2가","Uijuro 2(i)-ga","37.5606655","126.9695135"
"223","11680113","율현동","Yulhyeon-dong","37.4717408","127.1114704"
"224","11290135","종암동","Jongam-dong","37.596525","127.0332814"
"205","11140117","남대문로4가","Namdaemunno 4(sa)-ga","37.5606911","126.9755028"
"206","11440116","하중동","Hajung-dong","37.543806","126.927945"
"212","11650103","우면동","Umyeon-dong","37.4660631","127.0178631"
"213","11680104","청담동","Cheongdam-dong","37.5255867","127.0522749"
"214","11140115","남대문로2가","Namdaemunno 2(i)-ga","37.5638636","126.98204"
"193","11140129","남산동2가","Namsan-dong 2(i)-ga","37.5583248","126.9858851"
"195","11140131","저동1가","Jeo-dong 1(il)-ga","37.5642498","126.9878916"
"196","11140145","광희동1가","Gwanghui-dong 1(il)-ga","37.5650378","127.0051839"
"197","11140146","광희동2가","Gwanghui-dong 2(i)-ga","37.5639442","127.0083469"
"198","11140143","장충동1가","Jangchung-dong 1(il)-ga","37.5610374","127.0076401"
"207","11740110","강일동","Gangil-dong","37.5676689","127.1720394"
"208","11500110","개화동","Gaehwa-dong","37.5865739","126.8031384"
"209","11500104","가양동","Gayang-dong","37.5679849","126.8444363"
"210","11140144","장충동2가","Jangchung-dong 2(i)-ga","37.5552599","127.0003344"
"211","11410119","북가좌동","Bukgajwa-dong","37.5791085","126.911718"
"218","11140102","다동","Da-dong","37.5678826","126.9811939"
"220","11680118","도곡동","Dogok-dong","37.4881299","127.0440336"
"235","11740103","상일동","Sangil-dong","37.5508013","127.1698692"
"240","11410115","봉원동","Bongwon-dong","37.5726345","126.9472296"
"227","11110182","구기동","Gugi-dong","37.6179518","126.9621627"
"228","11140138","필동2가","Pildong 2(i)-ga","37.5577913","126.9949769"
"229","11140167","정동","Jeong-dong","37.5661453","126.9733065"
"230","11140132","충무로4가","Chungmuro 4(sa)-ga","37.5623108","126.9959752"
"231","11740106","둔촌동","Dunchon-dong","37.5289353","127.1469441"
"232","11215101","중곡동","Junggok-dong","37.5630636","127.0883255"
"233","11140142","예장동","Yejang-dong","37.5551793","126.9897764"
"236","11110186","신영동","Sinyeong-dong","37.6030533","126.9618057"
"237","11680103","개포동","Gaepo-dong","37.4824461","127.0627324"
"238","11140116","남대문로3가","Namdaemunno 3(sam)-ga","37.5616684","126.9794388"
"246","11500107","외발산동","Oebalsan-dong","37.5495179","126.8203069"
"247","11305103","수유동","Suyu-dong","37.6371315","127.0075443"
